시군구,단지명,전용면적(㎡),거래금액(만원),층,건축년도,도로명
전북특별자치도 전주시 덕진구 만성동,제일풍경채,84.9334,"49,000",19,2018,만성동로 48
전북특별자치도 군산시 경암동,새한,59.25,"6,350",2,1995,경촌3길 23
전북특별자치도 익산시 영등동,우남그랜드타운,59.76,"16,300",9,1999,하나로13길 26
제주특별자치도 서귀포시 동홍동,그랜드캐슬,135.485,"37,000",6,2007,동홍북로48번길 9
전북특별자치도 남원시 도통동,부영5차,84.9538,"24,900",7,2001,오들1길 26
강원특별자치도 동해시 평릉동,동해하나리움,59.9844,"17,200",13,2010,평원로 115
전북특별자치도 전주시 덕진구 만성동,엘에이치퍼스트리움,59.96,"35,000",10,2018,만성동로 16
제주특별자치도 제주시 연동,남해오네뜨,32.39,"14,000",10,2019,삼무로11길 9
제주특별자치도 제주시 일도이동,일도신천지,59.97,"29,000",6,1993,천수로 72
전북특별자치도 전주시 완산구 서신동,광진선수촌,84.9,"24,000",3,1998,서신로 102
강원특별자치도 강릉시 포남동,일송,59.135,"13,600",3,1995,하평3길 37
강원특별자치도 태백시 화전동,브라이튼,84.8239,"9,500",11,2006,수아밭길 196
경상남도 양산시 덕계동,양산두산위브2차(1단지),84.697,"32,500",18,2021,신덕계8길 37
강원특별자치도 강릉시 포남동,일송,59.135,"14,200",7,1995,하평3길 37
강원특별자치도 원주시 관설동,청솔5차,59.85,"11,000",14,2001,시청로 524
전북특별자치도 전주시 덕진구 반월동,대창하이빌타운,28.71,"3,100",3,1998,반월4길 15
전북특별자치도 익산시 부송동,리젠시빌,131.1142,"29,700",4,2004,무왕로21길 64
전북특별자치도 전주시 덕진구 장동,전북혁신우미린2단지,84.9904,"46,900",15,2013,틀못4길 17
강원특별자치도 속초시 조양동,속초2차IPARK,79.36,"38,000",4,2022,청대마을길 60
경상남도 양산시 평산동,경보2,84.97,"11,900",11,1992,평산회야로 51
경상남도 양산시 평산동,새진흥8,84.15,"7,000",8,1993,신명2길 16-33
경상남도 양산시 평산동,선우4,73.76,"10,250",11,1992,평산회야로 149
강원특별자치도 춘천시 삼천동,춘천파크자이,64.8151,"41,100",4,2020,스포츠타운길 460
전북특별자치도 전주시 완산구 태평동,태평아이파크,59.7204,"37,900",7,2022,태진로 35
경상남도 거제시 능포동,옥명대우(2차),74.92,"9,000",9,2003,능포로2길 38
전북특별자치도 익산시 부송동,삼성,84.93,"14,500",7,1994,선화로69길 59
강원특별자치도 춘천시 퇴계동,이편한세상춘천한숲시티,59.8597,"41,800",17,2019,안마산로 133
강원특별자치도 삼척시 마달동,세영리첼,62.646,"18,000",5,2018,마달길 215
강원특별자치도 춘천시 퇴계동,퇴계2주공,59.99,"18,000",7,1999,퇴계로 168
강원특별자치도 강릉시 교동,교동1주공,84.84,"24,000",2,1999,가작로 78
강원특별자치도 강릉시 입암동,강동3,47.37,"5,200",5,1993,강변로410번길 35
전북특별자치도 전주시 완산구 서신동,동아한일,59.93,"18,250",6,1999,새터로 95
전북특별자치도 완주군 봉동읍 제내리,제일오투그란데,59.969,"9,500",1,2017,봉비로 176
전북특별자치도 완주군 봉동읍 제내리,제일오투그란데,59.969,"11,000",9,2017,봉비로 176
전북특별자치도 전주시 완산구 평화동2가,평화동엠코타운,84.9441,"35,500",7,2013,양지3길 25
강원특별자치도 춘천시 효자동,동보,37.2,"6,600",1,1999,공지로200번길 13
강원특별자치도 춘천시 퇴계동,퇴계2주공,59.99,"17,800",13,1999,퇴계로 168
전북특별자치도 전주시 덕진구 덕진동2가,전주하가휴먼빌,84.9987,"35,500",10,2010,가리내로 216
전북특별자치도 전주시 완산구 효자동2가,전주효천우미린더퍼스트,84.9886,"53,500",4,2019,효천중앙로 11
강원특별자치도 강릉시 입암동,강릉더샵,74.76,"28,000",6,2014,입암로29번길 11
전북특별자치도 전주시 완산구 중화산동2가,신동아화산,31.689,"4,800",3,1998,신촌2길 30
전북특별자치도 군산시 수송동,수송2차오투그란데,59.9958,"16,500",6,2011,수송동로 105
강원특별자치도 춘천시 우두동,롯데인벤스,84.93,"26,500",13,2006,충열로 29
강원특별자치도 홍천군 홍천읍 갈마곡리,홍천오드카운티,59.9747,"24,700",3,2016,갈마로11길 33
전북특별자치도 완주군 이서면 용서리,혁신도시에코르3단지,84.932,"26,800",7,2015,반교로 51
전북특별자치도 군산시 미장동,미장대원칸타빌,74.91,"24,150",4,2018,미장남로 100
전북특별자치도 완주군 봉동읍 둔산리,라송센트럴카운티,84.9206,"19,700",7,2009,둔산1로 107
전북특별자치도 전주시 덕진구 인후동1가,동진아파트B동E동,76.5,"8,500",5,1981,인후3길 40-24
